T_V [keV],dR/dT [v / keV s] Quench Gauss
2.9887705110917857e-06,4.7010307975470216e-27
3.782390370427704e-06,4.704277546383879e-27
4.787419248342487e-06,4.690857372394286e-27
6.060576414096336e-06,4.6670097311127176e-27
7.674037145915074e-06,4.635605031615269e-27
9.71978423292678e-06,4.5970253558418994e-27
1.231526446037014e-05,4.5502750594259555e-27
1.561078491730011e-05,4.494028626825212e-27
1.979925040453223e-05,4.426849482681993e-27
2.512908229091798e-05,4.347160644823926e-27
3.192150511104408e-05,4.2534001480404e-27
4.059389036164197e-05,4.143683862996739e-27
5.169158053800786e-05,4.015639937490149e-27
6.593168517516132e-05,3.867230271719883e-27
8.426389101054711e-05,3.697517225682391e-27
0.0001079555592453,3.506812124004151e-27
0.0001387115539208,3.296236297150093e-27
0.0001788436792271,3.0684772521938227e-27
0.00023151067713,2.8277563593375654e-27
0.0003010578616541,2.578609202571425e-27
0.0003934960684692,2.3260715266253963e-27
0.0005171731301522,2.075995006916287e-27
0.0006837081286164,1.8320588178626437e-27
0.0009092801911415,1.596433401919969e-27
0.0012163913613815,1.3721824689413958e-27
0.0016362601746346,1.1637396634573299e-27
0.0022120537213967,9.737475200793366e-28
0.0030032375261584,8.039481749426907e-28
0.0040914221124434,6.550729207963331e-28
0.0055882214186897,5.279402193419454e-28
0.0076458217896549,4.219083351831441e-28
0.0104712050186403,3.3276848032584267e-28
0.0143452944980163,2.5774374686252223e-28
0.019648727776985,1.9517541746769582e-28
0.0268965402479354,1.438869247247823e-28
0.0367848254852086,1.026639135166202e-28
0.0502534880042859,7.040344086054761e-29
0.0685706179060328,4.6042526651204915e-29
0.0934459205917607,2.8443272686783753e-29
0.1271831994804213,1.6405739976522795e-29
0.1728853470308003,8.709561159645947e-30
0.234729963616967,4.181501850563486e-30
0.3183400219730473,1.776498574147122e-30
0.4312825082727948,6.5017533172350765e-31
0.5837394919672924,1.9829666843139797e-31
0.7894116879230196,4.8376007434802476e-32
1.0667357582849708,8.975944734635167e-33
1.4405253914393457,1.1907695956518736e-33
1.944185388797396,1.0470383938492078e-34
2.6227014452577686,5.5115925609300924e-36
