T_V [keV],dR/dT [v / keV s] Quench
2.9887705110917857e-06,4.73530389258376e-27
3.7823903704277038e-06,4.7166958628965154e-27
4.787419248342487e-06,4.694485416035369e-27
6.060576414096336e-06,4.6678541793209144e-27
7.674037145915074e-06,4.6357908670552026e-27
9.719784232926779e-06,4.597095569309727e-27
1.2315264460370139e-05,4.550305624345014e-27
1.561078491730011e-05,4.494021634925621e-27
1.979925040453223e-05,4.426803795278079e-27
2.512908229091798e-05,4.347069936308707e-27
3.192150511104408e-05,4.2532705088301265e-27
4.0593890361641974e-05,4.1435225904366064e-27
5.169158053800786e-05,4.015433532546588e-27
6.593168517516132e-05,3.866959219371034e-27
8.426389101054711e-05,3.697173353203685e-27
0.00010795555924538242,3.5064043866448806e-27
0.00013871155392085758,3.2957687377433155e-27
0.00017884367922711429,3.0679625530936368e-27
0.00023151067713001708,2.827222541253744e-27
0.0003010578616541717,2.5780779239638202e-27
0.000393496068469282,2.3255587800469108e-27
0.0005171731301522643,2.0755302226279746e-27
0.0006837081286164552,1.831653601615138e-27
0.0009092801911415592,1.5960820226624073e-27
0.0012163913613815406,1.3718789025247032e-27
0.0016362601746346304,1.1634880723966418e-27
0.002212053721396705,9.735442759777561e-28
0.003003237526158466,8.037880858468658e-28
0.004091422112443425,6.549480849496876e-28
0.005588221418689762,5.278461149720497e-28
0.0076458217896549505,4.218424207222658e-28
0.010471205018640366,3.3272139051814623e-28
0.01434529449801638,2.5770947417251686e-28
0.019648727776985068,1.9515037179104216e-28
0.026896540247935478,1.4386886530986373e-28
0.0367848254852086,1.026510219571767e-28
0.050253488004285966,7.039438624546686e-29
0.0685706179060328,4.6036343836362203e-29
0.09344592059176073,2.843920466136694e-29
0.12718319948042134,1.6403189440683857e-29
0.1728853470308003,8.70805824519177e-30
0.23472996361696702,4.180683582823508e-30
0.3183400219730473,1.776095457103573e-30
0.43128250827279485,6.500001708712439e-31
0.5837394919672924,1.9823159416639326e-31
0.7894116879230196,4.8356099535865397e-32
1.0667357582849708,8.971150816851416e-33
1.4405253914393457,1.1899085031109396e-33
1.944185388797396,1.045955830352934e-34
2.6227014452577686,5.51159154748129e-36
