T_V [keV],dR/dT [v / keV s] Quench
5.9340082811219034e-06,2.093800565867662e-27
7.758959299683171e-06,2.0201189075214317e-27
1.0144512841155364e-05,1.948185088325754e-27
1.3262662649975201e-05,1.8777865853816824e-27
1.733809901194902e-05,1.8086850918183627e-27
2.2664331282624067e-05,1.7406274208675074e-27
2.9624735999444305e-05,1.6733254358923124e-27
3.872003332880021e-05,1.6065813056215424e-27
5.06041525503675e-05,1.5402408076659992e-27
6.613104469704113e-05,1.4741514011599415e-27
8.64157798320847e-05,1.4082134277788267e-27
0.00011291428320345759,1.3422422992519848e-27
0.00014752739105494258,1.2758986299679272e-27
0.00019273663772421525,1.208933439936964e-27
0.000251781444310321,1.1413649250803568e-27
0.0003288903270470653,1.0734411792885889e-27
0.00042958259163237896,1.0054264392153836e-27
0.0005610620043064392,9.377887530551909e-28
0.0007327304930887944,8.711592849369178e-28
0.0009568585072671846,8.059637269702824e-28
0.001249459871861105,7.425364617193919e-28
0.0016314336332666532,6.813281644651846e-28
0.0021300545772042112,6.2204556877668175e-28
0.00278091922625187,5.639267912887018e-28
0.003630487060496355,5.066683253678854e-28
0.004739399923197253,4.508206072507483e-28
0.00618681935152883,3.967680906781104e-28
0.008076096268023213,3.450587829890407e-28
0.010542185891938755,2.963027308079497e-28
0.013761350655351097,2.5157515937679117e-28
0.017963865774696986,2.1160461522534762e-28
0.0234506700060076,1.7541190655339785e-28
0.030615207049279947,1.4255240525258262e-28
0.03997210696372024,1.1304935965372393e-28
0.05219489718646414,8.711116133716161e-29
0.06816565785397216,6.483700020728746e-29
0.08904051301461721,4.629143981692031e-29
0.11633617060753469,3.145793881699462e-29
0.1520445184554333,2.015544824799809e-29
0.19878473035535296,1.2034844013606124e-29
0.2600056862377643,6.601917529541675e-30
0.34025611370781933,3.269139747963491e-30
0.44554620476923806,1.4298309574283988e-30
0.5838332336646244,5.377064203088495e-31
0.7656758457846073,1.6818151963347388e-31
1.0051185041238737,4.1991707136749623e-32
1.3208908334293168,7.957360534414141e-33
1.7380386423819485,1.0757506138475957e-33
2.290147275000015,9.616697891798269e-35
3.0223774355102693,5.141830068084793e-36
