x,Curve1,Curve2,Curve3,X_lo,X_hi,,
1.1524,3.7113,2.5545,4.866,0.1667,2.1609,0.9857,1.0085
3.1597,4.0339,2.8048,5.1848,2.1739,4.1487,,
5.1667,3.1743,2.0158,4.2505,4.155,6.1459,,
7.1513,3.7156,2.5241,4.8252,6.1558,8.1533,,
9.1585,3.7628,2.5768,4.8575,8.1662,10.1507,,
11.1724,4.8061,3.5394,6.0914,10.164,12.1355,,
13.1531,2.5862,1.5597,3.5463,12.1414,14.1583,,
15.1477,4.0505,2.8218,5.1864,14.1716,16.1529,,
17.163,10.3731,8.5836,12.1124,16.1545,18.1455,,
19.1549,1.4973,0.5971,2.3085,18.1432,20.1536,,
