x,Curve1
0.02029,0.2319
0.02973,0.34217
0.03929,0.37134
0.05017,0.47188
0.0586,0.53755
0.06932,0.50507
0.07885,0.55046
0.09047,0.63153
0.0997,0.63718
0.10974,0.57795
0.11894,0.60712
0.12984,0.68981
0.13914,0.65329
0.15016,0.65164
0.15901,0.68081
0.1708,0.63617
0.17889,0.69535
0.18847,0.71317
0.19739,0.69043
0.20951,0.66526
0.22015,0.68307
0.22964,0.76252
0.24149,0.67652
0.25133,0.7584
0.25857,0.66593
0.26958,0.66995
0.27923,0.63829
0.2894,0.73072
0.29762,0.70637
0.30897,0.7185
0.3182,0.72739
0.32782,0.71601
0.33776,0.72328
0.35027,0.67945
0.35661,0.71674
0.36796,0.73617
0.37688,0.71425
0.38996,0.76531
0.39846,0.78799
0.40881,0.75958
0.4174,0.71738
0.42737,0.71005
0.43691,0.75139
0.44898,0.76108
0.45678,0.77323
0.4678,0.77401
0.47924,0.7318
0.48847,0.74069
0.49912,0.75445
0.50909,0.73658
0.51836,0.72439
0.52823,0.78275
0.53896,0.73163
0.54926,0.74376
0.55813,0.75185
0.56706,0.72019
0.5792,0.68285
0.58723,0.78583
0.59869,0.72902
0.60751,0.77523
0.61857,0.75005
0.62922,0.76057
0.63948,0.79217
0.64917,0.72807
0.65917,0.69641
0.66905,0.75315
0.67822,0.80017
0.68822,0.76608
0.69999,0.74333
0.70848,0.76926
0.71804,0.79924
0.72878,0.74812
0.73836,0.75944
0.74938,0.75617
0.75976,0.71234
0.77035,0.76503
0.78139,0.74553
0.78704,0.77796
0.79955,0.72602
0.80907,0.78276
0.81947,0.71704
0.82762,0.74053
0.83827,0.74618
0.84746,0.78752
