x,Curve1,Curve2,Curve3
0.01952,0.22087,0.27326,0.17653
0.02029,0.2319,0.28256,0.18724
0.02053,0.23529,0.28541,0.19053
0.02973,0.34217,0.38072,0.29725
0.02997,0.34359,0.38234,0.29878
0.03003,0.34392,0.38272,0.29914
0.03917,0.37076,0.42055,0.32633
0.03922,0.37098,0.42081,0.32654
0.03929,0.37134,0.42124,0.32689
0.05006,0.47067,0.52508,0.41956
0.05009,0.47098,0.5254,0.41984
0.05017,0.47188,0.5263,0.42061
0.0586,0.53755,0.59796,0.48475
0.05923,0.5372,0.59837,0.48597
0.0601,0.53576,0.59763,0.48645
0.06932,0.50507,0.55996,0.44874
0.06995,0.50466,0.5586,0.44733
0.07011,0.50464,0.55835,0.44708
0.07885,0.55046,0.59947,0.48706
0.07948,0.55542,0.60561,0.49235
0.07964,0.55666,0.60719,0.49369
0.08931,0.62512,0.6948,0.56745
0.08931,0.62514,0.69482,0.56747
0.09047,0.63153,0.70042,0.57338
0.09943,0.63847,0.69648,0.57798
0.09962,0.63759,0.69558,0.57719
0.0997,0.63718,0.69517,0.57683
0.10966,0.57824,0.63634,0.51876
0.10974,0.57795,0.63607,0.51844
0.11036,0.57609,0.63426,0.51631
0.11894,0.60712,0.65607,0.54128
0.11991,0.61556,0.66456,0.54994
0.11992,0.61569,0.6647,0.55008
0.12887,0.68654,0.75698,0.62534
0.12939,0.68851,0.75875,0.62595
0.12984,0.68981,0.75961,0.62591
0.13852,0.65611,0.71517,0.58638
0.13905,0.65365,0.7125,0.58459
0.13914,0.65329,0.71211,0.58432
0.14953,0.64944,0.71774,0.58452
0.15016,0.65164,0.72039,0.58664
0.15061,0.65343,0.72236,0.58838
0.15874,0.68129,0.74819,0.61958
0.15901,0.68081,0.74795,0.6189
0.15962,0.67931,0.74691,0.61693
0.16893,0.63904,0.70349,0.57493
0.17036,0.63633,0.70589,0.57332
0.1708,0.63617,0.70745,0.5735
0.17889,0.69535,0.76072,0.62435
0.17915,0.69715,0.76226,0.62649
0.18005,0.70239,0.76713,0.6333
0.18847,0.71317,0.78659,0.65287
0.18927,0.71199,0.78613,0.65193
0.18996,0.71073,0.78534,0.65091
0.19739,0.69043,0.75841,0.63311
0.19854,0.68744,0.75369,0.6297
0.19979,0.6844,0.7491,0.62595
0.20942,0.6654,0.72575,0.602
0.20951,0.66526,0.72563,0.60188
0.20978,0.66482,0.72527,0.60152
0.21934,0.67652,0.75322,0.62382
0.21934,0.67657,0.75328,0.62387
0.22015,0.68307,0.76126,0.63051
0.22936,0.76307,0.83227,0.69122
0.22938,0.76303,0.83218,0.69115
0.22964,0.76252,0.83103,0.69025
0.23784,0.69359,0.74222,0.61424
0.23927,0.68342,0.74712,0.61083
0.24149,0.67652,0.76479,0.6208
0.24947,0.74664,0.83168,0.69069
0.24962,0.74816,0.83181,0.6908
0.25133,0.7584,0.82651,0.68579
0.25857,0.66593,0.73092,0.60928
0.25919,0.66229,0.72558,0.60469
0.25919,0.66226,0.72554,0.60465
0.26932,0.67022,0.72538,0.60466
0.26958,0.66995,0.72559,0.60429
0.27075,0.66725,0.7255,0.60148
0.27923,0.63829,0.69722,0.57931
0.27949,0.63935,0.69785,0.5803
0.28003,0.64214,0.69993,0.58304
0.2886,0.7254,0.79022,0.66787
0.2894,0.73072,0.79518,0.6703
0.28949,0.73118,0.7956,0.67044
0.29762,0.70637,0.77821,0.64109
0.2986,0.70428,0.77369,0.63824
0.29948,0.7034,0.77043,0.63668
0.30817,0.71659,0.78338,0.65005
0.30897,0.7185,0.78548,0.65228
0.30995,0.72072,0.7877,0.65483
0.3182,0.72739,0.79377,0.65969
0.31866,0.72687,0.79341,0.65927
0.31936,0.72592,0.79268,0.65857
0.32782,0.71601,0.77684,0.6538
0.32862,0.71677,0.77629,0.65437
0.32969,0.71842,0.77643,0.65559
0.33776,0.72328,0.79056,0.66158
0.33874,0.72087,0.78897,0.65998
0.3391,0.71982,0.788,0.65921
0.34911,0.68182,0.74353,0.62345
0.35027,0.67945,0.74302,0.62028
0.35178,0.68029,0.74499,0.61781
0.35661,0.71674,0.76537,0.63274
0.35954,0.72898,0.78243,0.65505
0.35972,0.72951,0.78345,0.65631
0.36796,0.73617,0.80931,0.6779
0.36894,0.73406,0.80758,0.67615
0.36911,0.7336,0.80713,0.67577
0.37688,0.71425,0.77232,0.6486
0.37875,0.71793,0.77142,0.64468
0.38018,0.72219,0.77493,0.64449
0.38864,0.75889,0.83258,0.69516
0.38933,0.76223,0.83749,0.69783
0.38996,0.76531,0.8417,0.69967
0.39836,0.78807,0.86017,0.69893
0.39846,0.78799,0.86006,0.69886
0.39859,0.78789,0.85991,0.69878
0.40873,0.75994,0.83231,0.69186
0.40881,0.75958,0.83197,0.69168
0.40924,0.75762,0.83013,0.69067
0.4174,0.71738,0.78901,0.66234
0.41855,0.71362,0.78388,0.65767
0.42034,0.70922,0.77702,0.65046
0.42737,0.71005,0.76864,0.63686
0.42871,0.71461,0.77193,0.6403
0.42888,0.71529,0.77249,0.64088
0.43691,0.75139,0.82096,0.67955
0.43858,0.75501,0.82802,0.6855
0.43878,0.75535,0.82865,0.68609
0.44898,0.76108,0.8292,0.69249
0.44942,0.76132,0.82921,0.69255
0.44943,0.76133,0.82921,0.69255
0.45678,0.77323,0.84275,0.70123
0.45848,0.77604,0.84643,0.70347
