T_V [keV],dR/dT [v / keV s] Quench Gauss
5.934008281121903e-06,1.889902245487731e-26
7.758959299685238e-06,1.824786173707782e-26
1.014451284115578e-05,1.7598493651657464e-26
1.3262662649976363e-05,1.6962363176243185e-26
1.7338099011953136e-05,1.6337728351536892e-26
2.2664331282629227e-05,1.572244793575897e-26
2.9624735999447836e-05,1.5114054923694023e-26
3.872003332880203e-05,1.4510752417361423e-26
5.060415255037199e-05,1.391113275280471e-26
6.613104469704878e-05,1.3313823010263374e-26
8.64157798320927e-05,1.2717903166757932e-26
0.00011291428320345865,1.2121693751127338e-26
0.00014752739105494355,1.1522144795143896e-26
0.00019273663772422474,1.0917009559502859e-26
0.0002517814443103239,1.0306457954178161e-26
0.00032889032704706844,9.692751207052856e-27
0.0004295825916323879,9.078334837780062e-27
0.0005610620043064461,8.467493409779477e-27
0.000732730493088806,7.865978611252263e-27
0.0009568585072671872,7.277686023663852e-27
0.0012494598718611144,6.705660136289053e-27
0.0016314336332666614,6.15395303026496e-27
0.002130054577204216,5.619857142154219e-27
0.0027809192262518785,5.0963632976696265e-27
0.003630487060496356,4.5806205816087316e-27
0.004739399923197265,4.077538491345098e-27
0.006186819351528836,3.590522221120013e-27
0.008076096268023221,3.124442898699364e-27
0.01054218589193877,2.6847556938312912e-27
0.01376135065535111,2.281139476278688e-27
0.01796386577469699,1.9201866344437196e-27
0.02345067000600762,1.593042871047165e-27
0.030615207049279954,1.2957716387414215e-27
0.03997210696372024,1.0286936622692007e-27
0.052194897186464154,7.9368567914515275e-28
0.06816565785397216,5.916379915749066e-28
0.08904051301461723,4.231703928959372e-28
0.11633617060753468,2.8818643464898633e-28
0.1520445184554333,1.851141742168511e-28
0.19878473035535296,1.108658814264054e-28
0.2600056862377644,6.103460016645501e-29
0.3402561137078193,3.0349740856274803e-29
0.44554620476923806,1.3338447635257563e-29
0.5838332336646244,5.043570817972364e-30
0.7656758457846073,1.5869173043706015e-30
1.0051185041238737,3.986401102069899e-31
1.3208908334293166,7.596125638884898e-32
1.7380386423819485,1.0308940331588128e-32
2.290147275000015,9.220987720080626e-34
3.0223774355102693,4.900676373755936e-35
