T_V [keV],dR/dT [v / keV s] Quench Gauss
5.934008281121904e-06,4.236663052177648e-27
7.758959299683171e-06,4.090689970198687e-27
1.0144512841155364e-05,3.945118749182663e-27
1.32626626499752e-05,3.8025150516641024e-27
1.733809901194902e-05,3.662488376249909e-27
2.2664331282624067e-05,3.524558712931125e-27
2.9624735999444305e-05,3.388173024117141e-27
3.872003332880021e-05,3.252928492609289e-27
5.06041525503675e-05,3.118509557225096e-27
6.613104469704113e-05,2.9846084455156354e-27
8.64157798320847e-05,2.8510189125613763e-27
0.0001129142832034,2.717364465163941e-27
0.0001475273910549,2.58296138077936e-27
0.0001927366377242,2.4473059996328596e-27
0.0002517814443103,2.310436411065345e-27
0.000328890327047,2.1728595228096366e-27
0.0004295825916323,2.0351235559591856e-27
0.0005610620043064,1.8981889967813224e-27
0.0007327304930887,1.7633452222769246e-27
0.0009568585072671,1.6314655192046794e-27
0.0012494598718611,1.5032323818709017e-27
0.0016314336332666,1.3795541801386603e-27
0.0021300545772042,1.2598239495999449e-27
0.0027809192262518,1.1424704179945136e-27
0.0036304870604963,1.0268544852243431e-27
0.0047393999231972,9.140767312891233e-28
0.0061868193515288,8.049005110481978e-28
0.0080760962680232,7.00417803045811e-28
0.0105421858919387,6.0185151265552465e-28
0.013761350655351,5.113713875460093e-28
0.0179638657746969,4.304552675598208e-28
0.0234506700060076,3.571182524606583e-28
0.0306152070492799,2.90477872018122e-28
0.0399721069637202,2.306060242719334e-28
0.0521948971864641,1.7792342434140248e-28
0.0681656578539721,1.3262965453131869e-28
0.0890405130146172,9.48636561831821e-29
0.1163361706075346,6.460380809278763e-29
0.1520445184554333,4.149772212882427e-29
0.1987847303553529,2.4853210514343193e-29
0.2600056862377643,1.3682349764229307e-29
0.3402561137078193,6.80361251678194e-30
0.445546204769238,2.9901286378501715e-30
0.5838332336646244,1.1306357345498882e-30
0.7656758457846073,3.557450617533483e-31
1.0051185041238735,8.93646129085437e-32
1.3208908334293168,1.7028512935417875e-32
1.7380386423819485,2.310992894697156e-33
2.290147275000015,2.0671025748301478e-34
3.0223774355102693,1.0986025638597766e-35
