T_V [keV],dR/dT [v / keV s] Quench
2.9887705110917857e-06,9.585014915393242e-27
3.7823903704277038e-06,9.547812004510552e-27
4.787419248342487e-06,9.50315718443571e-27
6.060576414096336e-06,9.449394638783533e-27
7.674037145915074e-06,9.384498170563927e-27
9.719784232926779e-06,9.306099778051987e-27
1.2315264460370139e-05,9.211296483772448e-27
1.561078491730011e-05,9.097261535736931e-27
1.979925040453223e-05,8.961079982240467e-27
2.512908229091798e-05,8.799549579266894e-27
3.192150511104408e-05,8.609537307689292e-27
4.0593890361641974e-05,8.387226096235804e-27
5.169158053800786e-05,8.127763235999668e-27
6.593168517516132e-05,7.827010595198643e-27
8.426389101054711e-05,7.48311369601156e-27
0.00010795555924538242,7.096773645965515e-27
0.00013871155392085758,6.670289912036051e-27
0.00017884367922711429,6.209171828696207e-27
0.00023151067713001708,5.722046590116516e-27
0.0003010578616541717,5.218103637537278e-27
0.000393496068469282,4.7075205705318655e-27
0.0005171731301522643,4.2021527959297526e-27
0.0006837081286164552,3.7093299270261704e-27
0.0009092801911415592,3.233287036107589e-27
0.0012163913613815406,2.780148733674185e-27
0.0016362601746346304,2.3588944119408857e-27
0.002212053721396705,1.974826658059293e-27
0.003003237526158466,1.6314486080415934e-27
0.004091422112443425,1.3302318763882511e-27
0.005588221418689762,1.0728589025455633e-27
0.0076458217896549505,8.580704982849863e-28
0.010471205018640366,6.7733729508961045e-28
0.01434529449801638,5.2509763806341415e-28
0.019648727776985068,3.980540608988351e-28
0.026896540247935478,2.938291707875897e-28
0.0367848254852086,2.0996535412381445e-28
0.050253488004285966,1.4424501714736731e-28
0.0685706179060328,9.453409086241644e-29
0.09344592059176073,5.854692610460755e-29
0.12718319948042134,3.3870287843841866e-29
0.1728853470308003,1.8044811457723493e-29
0.23472996361696702,8.699278587408912e-30
0.3183400219730473,3.7135338629539925e-30
0.43128250827279485,1.3664324141393154e-30
0.5837394919672924,4.191842997840989e-31
0.7894116879230196,1.0286995313450867e-31
1.0667357582849708,1.9188353658580195e-32
1.4405253914393457,2.5544646210438468e-33
1.944185388797396,2.2460130009568642e-34
2.6227014452577686,1.1776055007933625e-35
