T_V [keV],dR/dT [v / keV s] Quench
5.934008281121903e-06,2.093800565867662e-27
7.758959299685238e-06,2.020118907521366e-27
1.014451284115578e-05,1.9481850883257445e-27
1.3262662649976363e-05,1.877786585381662e-27
1.7338099011953136e-05,1.8086850918183107e-27
2.2664331282629227e-05,1.74062742086746e-27
2.9624735999447836e-05,1.673325435892288e-27
3.872003332880203e-05,1.606581305621533e-27
5.060415255037199e-05,1.5402408076659828e-27
6.613104469704878e-05,1.4741514011599207e-27
8.64157798320927e-05,1.4082134277788111e-27
0.00011291428320345865,1.3422422992519834e-27
0.00014752739105494355,1.2758986299679264e-27
0.00019273663772422474,1.2089334399369572e-27
0.0002517814443103239,1.1413649250803552e-27
0.00032889032704706844,1.073441179288588e-27
0.0004295825916323879,1.0054264392153813e-27
0.0005610620043064461,9.377887530551894e-28
0.000732730493088806,8.711592849369163e-28
0.0009568585072671872,8.059637269702823e-28
0.0012494598718611144,7.425364617193915e-28
0.0016314336332666614,6.813281644651843e-28
0.002130054577204216,6.220455687766815e-28
0.0027809192262518785,5.6392679128870155e-28
0.003630487060496356,5.066683253678854e-28
0.004739399923197265,4.508206072507482e-28
0.006186819351528836,3.967680906781104e-28
0.008076096268023221,3.4505878298904067e-28
0.01054218589193877,2.9630273080794974e-28
0.01376135065535111,2.5157515937679113e-28
0.01796386577469699,2.116046152253476e-28
0.02345067000600762,1.754119065533978e-28
0.030615207049279954,1.4255240525258264e-28
0.03997210696372024,1.1304935965372393e-28
0.052194897186464154,8.711116133716161e-29
0.06816565785397216,6.483700020728747e-29
0.08904051301461723,4.629143981692032e-29
0.11633617060753468,3.145793881699462e-29
0.1520445184554333,2.015544824799809e-29
0.19878473035535296,1.2034844013606124e-29
0.2600056862377644,6.601917529541673e-30
0.3402561137078193,3.269139747963491e-30
0.44554620476923806,1.4298309574283988e-30
0.5838332336646244,5.377064203088495e-31
0.7656758457846073,1.6818151963347386e-31
1.0051185041238737,4.199170713674962e-32
1.3208908334293166,7.957360534414143e-33
1.7380386423819485,1.0757506138475957e-33
2.290147275000015,9.61669789179827e-35
3.0223774355102693,5.141830068084794e-36
