T_V [keV],dR/dT [v / keV s] Quench
5.9340082811219034e-06,4.238188320950589e-27
7.758959299683171e-06,4.089243003242383e-27
1.0144512841155364e-05,3.943756871731631e-27
1.3262662649975201e-05,3.801306941269257e-27
1.733809901194902e-05,3.661425293345433e-27
2.2664331282624067e-05,3.5236275188941916e-27
2.9624735999444305e-05,3.387354163943774e-27
3.872003332880021e-05,3.252207377481121e-27
5.06041525503675e-05,3.1178750420626355e-27
6.613104469704113e-05,2.9840486884063485e-27
8.64157798320847e-05,2.8505278510925436e-27
0.00011291428320345759,2.7169369525680713e-27
0.00014752739105494258,2.5825858885376394e-27
0.00019273663772421525,2.4469704246882696e-27
0.000251781444310321,2.3101333605618155e-27
0.0003288903270470653,2.1725871381762362e-27
0.00042958259163237896,2.034877556179739e-27
0.0005610620043064392,1.8979669425452454e-27
0.0007327304930887944,1.763148794650985e-27
0.0009568585072671846,1.6312936922250114e-27
0.001249459871861105,1.5030820540444364e-27
0.0016314336332666532,1.379428263698304e-27
0.0021300545772042112,1.2597208567180708e-27
0.00278091922625187,1.1423831342614965e-27
0.003630487060496355,1.0267767078945817e-27
0.004739399923197253,9.140086920195368e-28
0.00618681935152883,8.048408499464302e-28
0.008076096268023213,7.003657818675938e-28
0.010542185891938755,6.018054661720251e-28
0.013761350655351097,5.113320752791772e-28
0.017963865774696986,4.304253643219079e-28
0.0234506700060076,3.570946434383517e-28
0.030615207049279947,2.904585931065955e-28
0.03997210696372024,2.305901663377888e-28
0.05219489718646414,1.779106288696591e-28
0.06816565785397216,1.3261946592726708e-28
0.08904051301461721,9.485571060857122e-29
0.11633617060753469,6.459782421125257e-29
0.1520445184554333,4.149340859675317e-29
0.19878473035535296,2.4850266612514507e-29
0.2600056862377643,1.3680473157813114e-29
0.34025611370781933,6.802513714634968e-30
0.44554620476923806,2.9895497212572685e-30
0.5838332336646244,1.1303681366975708e-30
0.7656758457846073,3.5563984056450324e-31
1.0051185041238737,8.933071498025942e-32
1.3208908334293168,1.7019962236768643e-32
1.7380386423819485,2.3093934339955553e-33
2.290147275000015,2.06502300235424e-34
3.0223774355102693,1.0986023402057837e-35
