T [keV],dR/dT [v / keV s]
9.999999999999999e-05,2.870546234387033e-28
0.00012648552168552957,2.8624631625735927e-28
0.00015998587196060574,2.8529223266846234e-28
0.00020235896477251557,2.8416146175278274e-28
0.0002559547922699533,2.8281597323244325e-28
0.00032374575428176466,2.812120298971388e-28
0.00040949150623804275,2.792948092204451e-28
0.0005179474679231213,2.7701717356508905e-28
0.0006551285568595509,2.7433481783885716e-28
0.0008286427728546842,2.71199717663034e-28
0.0010481131341546852,2.6756970364939857e-28
0.0013257113655901107,2.6338238803754325e-28
0.00167683293681101,2.5853823085716867e-28
0.0021209508879201926,2.5294675057595565e-28
0.002682695795279727,2.465674785142815e-28
0.00339322177189533,2.3941032877611924e-28
0.004291934260128779,2.3149430104636855e-28
0.005428675439323859,2.2289354860038756e-28
0.006866488450042998,2.137354287237013e-28
0.00868511373751352,2.0411362069104538e-28
0.010985411419875572,1.9411114995499915e-28
0.013894954943731361,1.8385401471148584e-28
0.017575106248547932,1.7327497266698685e-28
0.022229964825261954,1.6216077638923901e-28
0.02811768697974231,1.5040833764074523e-28
0.03556480306223128,1.3816645704499487e-28
0.044984326689694445,1.255507482874212e-28
0.05689866029018305,1.1274543508801125e-28
0.07196856730011529,9.997952203511847e-29
0.09102981779915227,8.767277629880909e-29
0.11513953993264481,7.617346349005767e-29
0.14563484775012445,6.523548916025458e-29
0.18420699693267165,5.478297485691447e-29
0.2329951810515372,4.4910399079551165e-29
0.29470517025518095,3.5789649149914595e-29
0.3727593720314942,2.756390888034242e-29
0.47148663634573945,2.0376570094535467e-29
0.5963623316594643,1.434852343944162e-29
0.7543120063354622,9.534850156420203e-30
0.9540954763499944,5.911204478555218e-30
1.2067926406393288,3.3710664488740524e-30
1.5264179671752334,1.7378808893178293e-30
1.9306977288832496,7.92613979083085e-31
2.44205309454865,3.1136214556617816e-31
3.088843596477485,1.019060122652974e-31
3.9069399370546214,2.666616765479366e-32
4.941713361323838,5.30141584861736e-33
6.250551925273976,7.5194202985845565e-34
7.906043210907701,7.042350122808167e-35
10.0,3.9324050865090655e-36
