x,Curve1,Curve2,Curve3
0,3.099E+017,9.54E+018,5.196E+019
0.169,3.246E+017,9.597E+018,5.204E+019
4.907,8.857E+017,1.0356E+019,5.216E+019
5.179,9.462E+017,1.0383E+019,5.204E+019
5.312,9.771E+017,1.0395E+019,5.197E+019
9.761,2.46E+018,1.043E+019,4.794E+019
10.324,2.663E+018,1.0386E+019,4.743E+019
10.338,2.668E+018,1.0385E+019,4.741E+019
14.915,4.099E+018,9.866E+018,4.506E+019
15.054,4.144E+018,9.856E+018,4.503E+019
15.188,4.188E+018,9.848E+018,4.501E+019
19.328,5.666E+018,9.858E+018,4.503E+019
19.628,5.763E+018,9.865E+018,4.502E+019
19.757,5.803E+018,9.867E+018,4.502E+019
24.045,6.895E+018,9.859E+018,4.453E+019
24.932,7.107E+018,9.839E+018,4.445E+019
25.063,7.139E+018,9.836E+018,4.444E+019
29.793,8.454E+018,9.733E+018,4.448E+019
30.089,8.538E+018,9.732E+018,4.446E+019
30.221,8.576E+018,9.732E+018,4.445E+019
34.362,9.676E+018,9.734E+018,4.369E+019
35.099,9.863E+018,9.709E+018,4.348E+019
35.675,1.0009E+019,9.685E+018,4.331E+019
39.815,1.093E+019,9.484E+018,4.222E+019
39.961,1.0954E+019,9.479E+018,4.221E+019
40.096,1.0975E+019,9.475E+018,4.22E+019
44.237,1.1589E+019,9.486E+018,4.226E+019
44.677,1.1697E+019,9.493E+018,4.224E+019
45.107,1.1816E+019,9.5E+018,4.22E+019
49.981,1.3511E+019,9.492E+018,4.065E+019
50.119,1.3549E+019,9.488E+018,4.058E+019
50.132,1.3553E+019,9.488E+018,4.058E+019
54.108,1.4054E+019,9.274E+018,3.906E+019
54.688,1.4143E+019,9.249E+018,3.903E+019
54.849,1.4171E+019,9.244E+018,3.903E+019
59.413,1.5008E+019,9.246E+018,3.959E+019
59.565,1.5025E+019,9.245E+018,3.958E+019
59.846,1.5055E+019,9.243E+018,3.955E+019
64.858,1.5407E+019,9.134E+018,3.754E+019
64.866,1.5409E+019,9.134E+018,3.753E+019
65.166,1.546E+019,9.127E+018,3.746E+019
69.427,1.6604E+019,9.119E+018,3.754E+019
69.729,1.6671E+019,9.128E+018,3.754E+019
69.734,1.6672E+019,9.128E+018,3.754E+019
74.733,1.7114E+019,9.25E+018,3.706E+019
74.745,1.7114E+019,9.25E+018,3.706E+019
75.182,1.7116E+019,9.236E+018,3.703E+019
79.609,1.7319E+019,8.895E+018,3.668E+019
79.751,1.7344E+019,8.885E+018,3.665E+019
80.039,1.74E+019,8.865E+018,3.658E+019
84.768,1.8487E+019,8.781E+018,3.484E+019
85.056,1.8521E+019,8.792E+018,3.476E+019
