T_V [keV],dR/dT [v / keV s] Quench
2.9887705110917857e-06,1.6701990926934305e-26
3.7823903704277038e-06,1.663716445712679e-26
4.787419248342487e-06,1.6559352955911984e-26
6.060576414096336e-06,1.6465671145542606e-26
7.674037145915074e-06,1.6352588356109087e-26
9.719784232926779e-06,1.6215978319298628e-26
1.2315264460370139e-05,1.6050782565835822e-26
1.561078491730011e-05,1.5852075450171107e-26
1.979925040453223e-05,1.5614777637805528e-26
2.512908229091798e-05,1.5333309184318142e-26
3.192150511104408e-05,1.500221077039711e-26
4.0593890361641974e-05,1.4614831108557706e-26
5.169158053800786e-05,1.4162714301667636e-26
6.593168517516132e-05,1.3638649610871736e-26
8.426389101054711e-05,1.30394055887472e-26
0.00010795555924538242,1.2366203922653e-26
0.00013871155392085758,1.16230514583688e-26
0.00017884367922711429,1.0819548270093251e-26
0.00023151067713001708,9.970727335868822e-27
0.0003010578616541717,9.092601355266205e-27
0.000393496068469282,8.202904904311684e-27
0.0005171731301522643,7.322296156106906e-27
0.0006837081286164552,6.46354704015144e-27
0.0009092801911415592,5.6340372151656634e-27
0.0012163913613815406,4.844438880401004e-27
0.0016362601746346304,4.1103987227563806e-27
0.002212053721396705,3.441156557013173e-27
0.003003237526158466,2.8428166351113544e-27
0.004091422112443425,2.317943261045422e-27
0.005588221418689762,1.8694681035310315e-27
0.0076458217896549505,1.4951970136227959e-27
0.010471205018640366,1.1802674755250395e-27
0.01434529449801638,9.149882461429728e-28
0.019648727776985068,6.936134551950183e-28
0.026896540247935478,5.120004703051275e-28
0.0367848254852086,3.6586687350007807e-28
0.050253488004285966,2.5134848395298497e-28
0.0685706179060328,1.6472666363141524e-28
0.09344592059176073,1.0201864443931738e-28
0.12718319948042134,5.901933854604686e-29
0.1728853470308003,3.1443276813385816e-29
0.23472996361696702,1.5158585909390588e-29
0.3183400219730473,6.470872443433957e-30
0.43128250827279485,2.3810230849586126e-30
0.5837394919672924,7.3043312227544875e-31
0.7894116879230196,1.7925199272746663e-31
1.0667357582849708,3.343591131962952e-32
1.4405253914393457,4.451181902213939e-33
1.944185388797396,3.913701657731759e-34
2.6227014452577686,2.0519901704244677e-35
