x,Curve1
4.867,7.585e+13
9.735,8.082e+14
15.044,2.872e+15
20.649,6.718e+15
24.484,1.3432e+16
30.531,2.296e+16
35.546,3.534e+16
40.708,4.964e+16
44.543,6.974e+16
50,8.824e+16
54.867,1.1461e+17
60.324,1.3943e+17
65.487,1.6964e+17
69.469,1.9082e+17
75.221,2.322e+17
79.646,2.716e+17
85.841,3.219e+17
89.823,3.482e+17
94.69,3.815e+17
99.115,4.463e+17
105.162,5.086e+17
109.587,5.29e+17
115.339,5.647e+17
119.912,5.873e+17
124.926,6.606e+17
129.646,6.961e+17
134.808,7.933e+17
139.381,8.58e+17
145.133,8.693e+17
150.147,9.651e+17
155.162,9.778e+17
159.882,1.0715e+18
164.307,1.159e+18
169.469,1.1742e+18
175.074,1.2535e+18
179.646,1.3208e+18
184.808,1.3736e+18
190.118,1.3736e+18
194.985,1.4857e+18
199.705,1.5655e+18
204.867,1.6069e+18
210.029,1.7155e+18
215.339,1.7609e+18
220.059,1.8555e+18
225.221,1.9046e+18
230.531,1.9046e+18
235.251,1.9551e+18
239.971,2.087e+18
244.985,2.087e+18
250.147,2.007e+18
255.015,2.228e+18
260.029,2.228e+18
264.602,2.257e+18
270.206,2.317e+18
275.074,2.379e+18
280.236,2.41e+18
284.808,2.442e+18
289.381,2.506e+18
294.69,2.506e+18
300,2.641e+18
304.72,2.676e+18
309.882,2.676e+18
314.602,2.711e+18
319.912,2.783e+18
325.074,2.819e+18
330.678,2.971e+18
335.398,2.971e+18
339.823,3.13e+18
344.838,3.255e+18
350,3.255e+18
355.162,3.475e+18
360.324,3.213e+18
364.897,3.385e+18
369.912,3.475e+18
374.926,3.521e+18
379.794,3.614e+18
384.808,3.614e+18
389.676,3.71e+18
394.838,3.71e+18
399.853,3.759e+18
